,x_hat_e,x_hat_n,gt_e,gt_n,pe,ul
0,14.302152,8.5336895,14.658958834011607,13.483152114439102,4.9623070771330475,39.956886
1,18.744406,4.937981,9.38260663022719,8.77847342661446,10.118926019251925,40.780388
2,-1.170074,14.356907,9.38260663022719,8.77847342661446,11.936414373853733,23.041832
3,-1.9141206,15.173043,4.409940881862751,4.320180711817287,12.560986360611373,17.41125
4,-5.524938,10.598349,4.409940881862751,4.320180711817287,11.752327972225888,34.09967
5,-4.154548,9.748075,0.04035839596014931,0.42109836581077786,10.226911825094128,33.889534
6,-3.1004763,1.622143,0.04035839596014931,0.42109836581077786,3.3626404287367575,35.195442
7,-5.1472316,3.8403456,-3.4505005160008326,-2.6517812197424124,6.710186824318854,35.0822
8,-3.8653822,-1.0580544,-3.4505005160008326,-2.6517812197424124,1.6468429897143155,12.019145
9,-4.0996475,-0.99518144,-5.764096981556389,-4.731741954480712,4.090510539299107,12.541446
10,-6.398935,-1.8445392,-5.764096981556389,-4.731741954480712,2.956173041737806,14.706778
11,-6.207568,-2.233347,-6.887263430098634,-5.730504408331083,3.5625968075463463,13.334906
12,-6.268541,-3.2939408,-6.887263430098634,-5.730504408331083,2.5138933792437927,13.6998415
13,-6.1231475,-3.462297,-7.120827140561673,-5.947974410445695,2.6784243621755692,15.151606
14,-9.004621,-2.3193333,-7.120827140561673,-5.947974410445695,4.088485516365508,16.722086
15,-9.912081,-1.7537348,-7.107374352778335,-5.939669352138264,5.038692876715748,17.243017
16,-7.8863554,-2.8552964,-7.107374352778335,-5.939669352138264,3.181221171851479,13.723657
17,-8.695206,-2.1654592,-7.106229419647451,-5.935055409612222,4.090806949475266,14.985423
18,-9.202148,-0.6831252,-7.106229419647451,-5.935055409612222,5.65470136065767,12.275964
19,-9.651688,-1.0381008,-7.109091701819581,-5.9325946310529245,5.515511172814071,13.540187
20,-16.541048,-5.7261987,-7.109091701819581,-5.9325946310529245,9.434214320440116,11.441217
21,-15.8006115,-6.0674033,-7.107946783972553,-5.93197944148276,8.693719538906173,11.260214
22,-15.836597,-8.918179,-7.107946783972553,-5.93197944148276,9.225330752141314,12.998929
23,-15.921839,-8.892939,-7.107946783972553,-5.93197944148276,9.297955204902888,14.664527
24,-15.079131,-8.607266,-7.107946783972553,-5.93197944148276,8.408147255549881,15.520704
25,-14.858484,-9.515787,-7.107946783972553,-5.93197944148276,8.538999285867662,14.151972
26,-14.934473,-8.04402,-7.107946783972553,-5.93197944148276,8.106492906946606,17.258036
27,-14.894974,-8.84528,-7.107946783972553,-5.93197944148276,8.314151033310056,17.854546
28,-14.3839445,-8.597597,-7.107946783972553,-5.93197944148276,7.748913507675683,16.678083
29,-14.876224,-8.227134,-7.107946783972553,-5.93197944148276,8.100238109927387,16.676151
30,-11.041069,-1.6571615,-7.107946783972553,-5.93197944148276,5.808917219357906,13.690134
31,-10.958605,-1.8267355,-7.107946783972553,-5.93197944148276,5.62855177654503,12.620807
32,-9.951083,-3.1095047,-7.107946783972553,-5.93197944148276,4.006218697609709,14.409483
33,-10.001464,-2.1599002,-7.107946783972553,-5.93197944148276,4.754053337363965,15.549071
34,-10.744113,-3.9864938,-7.107946783972553,-5.93197944148276,4.123908195085158,12.206064
35,-10.897726,-3.2058902,-7.107946783972553,-5.93197944148276,4.668403326822811,13.530204
36,-10.920448,-3.2220373,-7.107946783972553,-5.93197944148276,4.67749443197661,10.8581085
37,-10.158377,-3.824097,-7.107946784846439,-5.931979442251458,3.7078688440372236,11.165676
38,-11.422869,-1.411028,-7.107946784846439,-5.931979442251458,6.249604233488927,10.565916
