,x_hat_e,x_hat_n,gt_e,gt_n,pe,ul
0,61.534195,65.272675,57.166128052771086,69.17312649395315,5.856068106764173,3.575572
1,61.427425,65.37393,57.15839975984212,69.17035794199333,5.712917870245165,3.5756104
2,61.33642,65.182,57.151816370822615,69.16789697827753,5.779123905276805,3.575696
3,61.027935,65.13605,57.14408825252757,69.11252955476274,5.5584778847368606,3.5757213
4,60.630432,64.96182,57.11775658297032,68.71203983327639,5.138386854312989,3.5759187
5,60.259205,63.89826,57.02788534694545,67.46135567155876,4.8101028419988925,3.5759885
6,60.042503,61.459454,56.78488665291398,64.9187695373889,4.751729523471662,3.5759082
7,59.73348,57.35005,56.062459313108064,61.17994242517537,5.30513372105083,3.576246
8,54.37452,46.122288,54.41007742470606,56.36883288773045,10.246606835013875,3.2739666
9,51.349693,40.783325,51.50201097346745,50.759508478403795,9.977346018455334,3.2721581
10,47.596863,41.538536,47.49711627228182,44.88595893581648,3.3489086579184475,7.5742984
11,46.840965,32.09308,42.596321958439674,39.156363311749956,8.240569615169337,16.739426
12,43.967525,24.773357,37.052365054592244,33.64177556608232,11.245811872027529,14.428193
13,38.80253,19.378565,31.305466384345102,28.394796909560085,11.725970297443792,14.382879
14,38.011993,18.673727,25.661606049174097,23.280701753401146,13.181664688848576,25.928175
15,29.43327,9.604107,20.128512750263337,18.282572452371536,12.723767621098181,32.433662
16,25.96753,1.1793213,14.658958834011607,13.483152114439102,16.711314098329726,39.24349
17,23.129557,-6.7239923,9.38260663022719,8.77847342661446,20.71967857116097,44.63088
18,5.324011,0.99870396,4.409940881862751,4.320180711817287,3.444957436637304,17.094254
19,2.5585012,-4.717911,0.04035839596014931,0.42109836581077786,5.722801609709478,25.786674
20,1.103555,-9.320787,-3.4505005160008326,-2.6517812197424124,8.075584507974453,33.600883
21,-8.599742,-4.477918,-5.764096981556389,-4.731741954480712,2.846982407891873,14.635701
22,-10.120266,-5.824994,-6.887263430098634,-5.730504408331083,3.234383041980075,13.743685
23,-10.301983,-6.729574,-7.120827140561673,-5.947974410445695,3.275767096841795,13.689845
24,-7.903369,-8.60641,-7.107374352778335,-5.939669352138264,2.783004351989897,13.440592
25,-6.9730186,-8.119107,-7.106229419647451,-5.935055409612222,2.188110494450206,13.430832
26,-6.895952,-8.232558,-7.109091701819581,-5.9325946310529245,2.309818409992187,13.426459
27,-7.8424745,-10.332184,-7.107946783972553,-5.93197944148276,4.461090633231012,14.598728
28,-8.417971,-10.517785,-7.107946783972553,-5.93197944148276,4.769253173474322,14.619321
29,-8.004103,-10.627915,-7.107946783972553,-5.93197944148276,4.780680892851372,14.619704
30,-8.024026,-10.511167,-7.107946783972553,-5.93197944148276,4.669920316192575,14.620004
31,-8.385832,-10.762543,-7.107946783972553,-5.93197944148276,4.996732115145543,14.62044
32,-8.764626,-8.821459,-7.107946783972553,-5.93197944148276,3.330716978422952,13.388475
33,-8.624167,-8.162303,-7.107946783972553,-5.93197944148276,2.6968997257250242,13.3870125
34,-9.199959,-8.862174,-7.107946783972553,-5.93197944148276,3.600354792409714,13.381531
35,-9.155629,-8.940247,-7.107946784846439,-5.931979442251458,3.6390485412652414,13.375174
36,-8.892315,-8.82169,-7.107946784846439,-5.931979442251458,3.3962323886989494,13.369007
37,-8.510475,-10.672877,-7.107946784846439,-5.931979442251458,4.944006315534394,14.599657
38,-8.701333,-11.243853,-7.107946784846439,-5.931979442251458,5.5457079245355345,14.622947
39,-8.749897,-11.44644,-7.107946784846439,-5.931979442251458,5.753718182919649,14.623696
40,-8.9554,-11.380743,-7.107946784846439,-5.931979442251458,5.753443291367331,14.624116
41,-9.117047,-11.356676,-7.107946784846439,-5.931979442251458,5.7847920244842665,14.624651
42,-11.382922,-11.94435,-7.107946784846439,-5.931979442251458,7.377263531046008,13.34211
43,-9.952304,-9.52019,-7.107946786101783,-5.9319794433425646,4.57882343269827,13.341
44,-10.535435,-9.868763,-7.107946786101783,-5.9319794433425646,5.219764179771981,13.337224
45,-10.382143,-9.485921,-7.107946786101783,-5.9319794433425646,4.8322728506024095,13.33265
46,-10.85876,-10.054548,-7.107946786101783,-5.9319794433425646,5.573524248013793,13.328023
47,-10.560735,-9.586294,-7.107946786101783,-5.9319794433425646,5.027500459249355,13.323539
48,-10.636529,-9.856408,-7.107946786101783,-5.9319794433425646,5.277502501376798,13.3192215
49,-10.406038,-9.419866,-7.107946786101783,-5.9319794433425646,4.8002872236575405,13.314967
50,-10.783811,-9.723417,-7.1079467874004765,-5.931979444038885,5.280812036319496,13.31087
51,-10.75769,-9.736462,-7.1079467874004765,-5.931979444038885,5.27206917910482,13.3069105
52,-10.776436,-9.883762,-7.1079467874004765,-5.931979444038885,5.392068270091808,13.303003
53,-10.671233,-9.693599,-7.1079467874004765,-5.931979444038885,5.181388778883537,13.299231
54,-10.883789,-10.044098,-7.1079467874004765,-5.931979444038885,5.582696757436979,13.295532
55,-10.780982,-9.932977,-7.1079467874004765,-5.931979444038885,5.43131356355622,13.291885
56,-10.156361,-10.929047,-7.1079467874004765,-5.931979444038885,5.853503856862889,14.6050005
57,-10.188942,-11.159621,-7.1079467874004765,-5.931979444038885,6.068012026985306,14.631826
58,-10.335081,-11.159895,-7.107946788274361,-5.931979445238413,6.143736348764311,14.632936
59,-10.380138,-11.07134,-7.107946788274361,-5.931979445238413,6.092639887634063,14.633444
60,-10.562259,-10.973518,-7.107946788274361,-5.931979445238413,6.111414375596647,14.633999
61,-10.7113,-10.944874,-7.107946788274361,-5.931979445238413,6.173594052987736,14.63461
62,-10.80372,-10.926336,-7.107946788274361,-5.931979445238413,6.213078416956871,14.635206
63,-10.928702,-10.931341,-7.107946788274361,-5.931979445238413,6.292200788593298,14.635813
64,-11.007925,-10.931604,-7.107946788274361,-5.931979445238413,6.340826433188312,14.636392
65,-11.114568,-10.942354,-7.107946788274361,-5.931979445238413,6.415361781704478,14.636997
66,-11.207812,-10.926339,-7.107946789573055,-5.931979446365564,6.461619466016578,14.637596
67,-11.272598,-10.931328,-7.107946789573055,-5.931979446365564,6.506750808531046,14.638192
68,-11.419687,-10.890518,-7.107946789573055,-5.931979446365564,6.571013044973398,14.638787
69,-11.556005,-10.878803,-7.107946789573055,-5.931979446365564,6.652539619307426,14.639374
70,-11.614768,-10.752116,-7.107946789573055,-5.931979446365564,6.598875361234047,14.639969
71,-11.776285,-10.670608,-7.107946789573055,-5.931979446365564,6.651915491972503,14.640556
72,-11.926346,-10.69722,-7.107946789573055,-5.931979446365564,6.776760683238388,14.641149
73,-12.068612,-10.649764,-7.107946790871748,-5.9319794470618845,6.845852171899183,14.641731
74,-12.177822,-10.609526,-7.107946790871748,-5.9319794470618845,6.898048604398586,14.642321
75,-12.260218,-10.489262,-7.107946790871748,-5.9319794470618845,6.87856933137442,14.642907
76,-12.406148,-10.474016,-7.107946790871748,-5.9319794470618845,6.978612567372871,14.643483
77,-12.398731,-10.412869,-7.107946790871748,-5.9319794470618845,6.93330911242027,14.644088
78,-12.538689,-10.294312,-7.112526464879585,-5.929826273101442,6.9636174266362225,14.644664
79,-12.642086,-10.196342,-7.113957599920615,-5.92582751913941,6.9855208724658375,14.64525
80,-12.8306675,-10.058835,-7.1145300433331435,-5.922136359652647,7.055955162883835,14.645828
81,-12.937315,-10.011439,-7.115674946229888,-5.9178300086725635,7.1168202160975245,14.646409
82,-12.877273,-11.657577,-7.117392309384535,-5.913216062081586,8.13473408117179,17.138523
83,-12.841491,-12.028168,-7.119395900752996,-5.907679327317106,8.378707993132236,17.331081
84,-12.897044,-12.030126,-7.1219719499688665,-5.901527400507451,8.420877353005478,17.354506
85,-12.988078,-11.920765,-7.125120448265905,-5.895067869234747,8.407335940392903,17.359882
86,-13.101492,-11.871872,-7.18179394412374,-5.93474764032772,8.384048501119754,17.362381
87,-13.751268,-12.061195,-7.641765510255689,-6.33646721885939,8.372486956928592,17.364323
88,-15.35265,-12.975218,-9.105545831132469,-7.609604506623717,8.235053905575752,17.366209
89,-17.71604,-14.651968,-11.354741870470265,-9.625892033934782,8.10725287482896,17.36814
90,-29.44386,-31.717358,-13.636855375218545,-12.137715680712274,25.163937407402432,24.763845
91,-32.485348,-35.133476,-15.032515992525248,-15.512960611710726,26.2595881627604,33.137173
92,-32.80576,-35.488712,-14.268285263414759,-19.481866867005238,24.49197928987215,39.700233
93,-32.922695,-35.619717,-11.521337726749666,-23.50706469238105,24.591348830228714,45.32892
94,-21.028631,-57.38027,6.340866165767909,-45.191938922869454,29.960720196203216,63.405323
95,-19.026636,-65.08003,11.91521208301726,-52.08392156205584,33.560346631431976,69.56843
96,-10.552961,-71.5487,17.995047130915736,-59.44406201537244,31.00824101450351,67.90354
97,18.3393,-74.164734,24.532285608776533,-67.19238479694711,9.325594922170087,19.394926
98,26.00489,-82.04622,31.5306495167641,-75.2501448472536,8.75903165334456,28.347692
99,34.121384,-89.647934,38.954361196182276,-83.63579754050164,7.713848334252183,35.662525
100,42.34017,-97.28635,46.52119660194737,-92.05743467490235,6.694959781681362,41.76748
